author_id	proper_name	dates
237	Тан Сяньцзу	(1550-1617)
238	Тан Хуэйсю	(вторая половина V в.)
239	Тан Шаочжун	(1946-ныне)
240	Тань Сытун	(1865-1898)
241	Тао Е	(V в.)
242	Тао ХунЦзин	(456 - 536)
243	Тао Юаньмин	(365-427)
244	Тибетские народные песни	(XX в.)
245	То Фу	(1965-ныне)
246	Три А	(1974-ныне)
247	Троесловие	(1250?)
248	Тун Хай	(VIII в.?)
249	Тянь Сян	(1962-ныне)
250	Тянь Цзянь	(1917-1985)
251	У Лицзюнь	(XX в.)
252	У Сян	(XIX в.)
253	У Цзао	(1799? - 1863)
254	У Цзюнь	(469-520)
255	У Ци	(XVII в.)
256	У Чэнъэнь	(1506-1582)
257	Фан Бин	(XX в.)
258	Фан Вэйи	(1585-1668)
259	Фань Дэн	(XV в.)
260	Фань Жуй	(XVII в.)
261	Фань Чжунъянь	(989-1052)
262	Фань Чэнда	(1126 - 1193)
263	Фань Юнь	(451-503)
264	Фу Ваньчунь	(1631-1647)
265	Фу Сюань	(218-278)
266	Фу Тяньлинь	(1946-ныне)
267	Фэн Мэнлун	(1576-1646)
268	Фэй Сихуан	(1664-1741)
269	Фэй Чэн	(1984-ныне)
270	Фэн На	(1985-ныне)
271	Фэн Чжи	(1905-1993)
272	Хайцзы	(1964-1989)
273	Хань Бо	(1973-ныне)
274	Хань Во	(844-923)
275	Хань Ся	(ок. 1644)
276	Хань Хань	(XX в.)
277	Хань Хун	(VIII в.)
278	Хань Цзюй	(1086?-1135)
279	Хань Ци	(1008-1075)
280	Хань Юй	(768-824)
281	Хань Янь	(1969-ныне)
282	Хань-Дун	(1961-ныне)
283	Ханьшань-цзы	(конец VII – начало VIII вв.)
284	Хоу Цзюэ	(1984-ныне)
285	Ху Сюань	(1966-ныне)
286	Хуа Жуй	(940-976)
287	Хуайнань Сяошань	(начало II в. до н.э.)
288	Хуан Кайбин	(1979-ныне)
289	Хуан Лихай	(1975-ныне)
290	Хуан Тинцзянь	(1045 - 1105)
291	Хуан Цаньжань	(1963-ныне)
292	Хуан Цзинь	(1277-1357)
293	Хуан Цзиньмин	(1974-ныне)
294	Хуан Цзюньсянь	(1848-1905)
295	Хуан Юнъюй	(1924-ныне)
296	Хуанфу Жань	(714 - 767)
297	Хуанфу Сун	(820? - 880)
298	Хуэй Ва	(1927-ныне)
299	Хэ Сюнь	(466?-518?)
300	Хэ Цзинмин	(1483-1521)
301	Хэ Цифан	(1912-1977)
302	Хэ Чжичжан	(659-744)
303	Хэ Шо	(1984-ныне)
304	Хэ Шуанцин	(XVIII в.)
305	Цао Пи	(187-226)
306	Цао Сюэцинь	(1724-1764)
307	Цао Цао	(155-220)
308	Цао Чжи	(192-232)
309	Цзан Кэцзя	(1905-2004)
310	Цзе Сисы	(1274 – 1344)
311	Цзи Кан	(223-264)
312	Цзинь гу цигуань	(первая половина XVII в.)
313	Цзинь Цзинь	(XX в.)
314	Цзинь Чжун	(XVII в.)
315	Цзо Сы	(250?-305?)
316	Цзоу Дифань	(1918-1960?)
317	Цзу Юн	(первая половина VIII в.)
318	Цзун Байхуа	(1897 -1986)
319	Цзэн Чжо	(1922-2002)
320	Цзя Дао	(779-843)
